,train_loss_1,train_acc_1,val_loss_1,val_acc_1,train_loss_2,train_acc_2,val_loss_2,val_acc_2,val_acc
0,0.9801351428031921,0.875,0.8738271594047546,0.9235000014305115,0.9261929392814636,0.90625,0.8787364959716797,0.9211000204086304,0.9559000134468079
1,0.5888292789459229,0.96875,0.6021108627319336,0.9639000296592712,0.6746823191642761,0.90625,0.6111477613449097,0.9617000222206116,0.9745000004768372
2,0.5518232583999634,0.9375,0.46497485041618347,0.9746999740600586,0.35550394654273987,1.0,0.47092437744140625,0.9718999862670898,0.9794999957084656
3,0.39279571175575256,1.0,0.3864234983921051,0.9771000146865845,0.393065869808197,1.0,0.3929808437824249,0.9760000109672546,0.9811000227928162
4,0.25851231813430786,1.0,0.3334377408027649,0.9783999919891357,0.4493144750595093,0.96875,0.3442244529724121,0.9775000214576721,0.9815999865531921
5,0.2923988997936249,1.0,0.30053067207336426,0.9797999858856201,0.23121872544288635,1.0,0.3090392053127289,0.9772999882698059,0.9810000061988831
6,0.2759707570075989,1.0,0.2734348773956299,0.9793999791145325,0.29023224115371704,1.0,0.27891451120376587,0.9786999821662903,0.9815000295639038
7,0.32637810707092285,0.9375,0.2536703050136566,0.9800000190734863,0.15994426608085632,1.0,0.2571216821670532,0.9789000153541565,0.9822999835014343
8,0.25387704372406006,0.96875,0.23738223314285278,0.980400025844574,0.13409453630447388,1.0,0.2390678972005844,0.9801999926567078,0.9825000166893005
9,0.22349514067173004,1.0,0.22282324731349945,0.9811999797821045,0.11676158010959625,1.0,0.2290497124195099,0.9801999926567078,0.9828000068664551
